time,zdeflection,velocity,force,indentation,famp,fphat,freq_bas
3.217221135029353807e+00,1.509577711396031496e+01,6.079076429614317476e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.375282384609502411e-10,1.285387519129644431e+02,9.431542968750000000e+06
3.225048923679060930e+00,1.509279013547427439e+01,-8.754033352307731093e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.326259144439998617e-10,1.299456995062478484e+02,9.780859375000000000e+06
3.232876712328767166e+00,1.505661366167288584e+01,-2.359503202764815796e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.290022386542171528e-10,1.312290986243176292e+02,1.013017578125000000e+07
3.240704500978473845e+00,1.498726722619111840e+01,-3.841082372986424616e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.252051137005257314e-10,1.326742889551357791e+02,1.047949218750000000e+07
3.248532289628180081e+00,1.488484418265350584e+01,-5.316823056302623627e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.220480018878334088e-10,1.338388651813812089e+02,1.082880859375000000e+07
3.256360078277886316e+00,1.474951222366169290e+01,-6.783406815514476875e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.193992309958835596e-10,1.353765907959565311e+02,1.117812500000000000e+07
3.264187866927592996e+00,1.458151328927263890e+01,-8.237522334799275995e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.162471975010560902e-10,1.368409828423386330e+02,1.152744140625000000e+07
3.272015655577299231e+00,1.438116298797411297e+01,-9.675873431239349884e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.136683446220231936e-10,1.381568997232334652e+02,1.187675781250000000e+07
3.279843444227005911e+00,1.414885065483425564e+01,-1.109518664524758788e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.111349416176957629e-10,1.396008891435806163e+02,1.222607421875000000e+07
3.287671232876712146e+00,1.388503841056010835e+01,-1.249221925832238230e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.088270102489362765e-10,1.408643322447807122e+02,1.257539062500000000e+07
3.295499021526418826e+00,1.359026033943109724e+01,-1.386376689247717331e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.069540826924897406e-10,1.422982554901597609e+02,1.292470703125000000e+07
3.303326810176125061e+00,1.326512200162808952e+01,-1.520667133661706794e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.048406066446291643e-10,1.437661240736181014e+02,1.327402343750000000e+07
3.311154598825831297e+00,1.291029876228622619e+01,-1.651782808127004682e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.029868551087383441e-10,1.451102032182988637e+02,1.362333984375000000e+07
3.318982387475537976e+00,1.252653451227242876e+01,-1.779419375050233793e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.012432643920316672e-10,1.465422990830718959e+02,1.397265625000000000e+07
3.326810176125244212e+00,1.211464116773579569e+01,-1.903279401974968641e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.957268937088124551e-11,1.478671218965306480e+02,1.432197265625000000e+07
3.334637964774951335e+00,1.167549543278456703e+01,-2.023073007125476215e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.822452281411882072e-11,1.492559116723271018e+02,1.467128906250000000e+07
3.342465753424657571e+00,1.121003901502216848e+01,-2.138518691106919869e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.678410864510815008e-11,1.507119913427454492e+02,1.502060546875000000e+07
3.350293542074364250e+00,1.071927447752643303e+01,-2.249343896431319808e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.545931035986406105e-11,1.520775731624479477e+02,1.536992187500000000e+07
3.358121330724070486e+00,1.020426542032905814e+01,-2.355285854451153136e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.425374023111680751e-11,1.534974459475583046e+02,1.571923828125000000e+07
3.365949119373776721e+00,9.666132174594270765e+00,-2.456092075417816159e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.306844120071879399e-11,1.548595999982216824e+02,1.606855468750000000e+07
3.373776908023483401e+00,9.106050567798217088e+00,-2.551521084377913576e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.211135545581664158e-11,1.562319080575935573e+02,1.641787109375000000e+07
3.381604696673189636e+00,8.525249035161314382e+00,-2.641343007875540934e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.114393468587460629e-11,1.576727659863730366e+02,1.676718750000000000e+07
3.389432485322896316e+00,7.925006097049336340e+00,-2.725340146484022625e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.022695920882619548e-11,1.590530814723971673e+02,1.711650390625000000e+07
3.397260273972602551e+00,7.306647608478670897e+00,-2.803307563888521690e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.941808001970690904e-11,1.604644119334496395e+02,1.746582031250000000e+07
3.405088062622309231e+00,6.671543911261389681e+00,-2.875053621354897768e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.861491350730139493e-11,1.618480433896610293e+02,1.781513671875000000e+07
3.412915851272015466e+00,6.021106519750995645e+00,-2.940400444761967810e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.797457145976773162e-11,1.632156972345273402e+02,1.816445312500000000e+07
3.420743639921721702e+00,5.356785267755594937e+00,-2.999184440679350519e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.736493509961590862e-11,1.646433096520588037e+02,1.851376953125000000e+07
3.428571428571428381e+00,4.680064873098039868e+00,-3.051256714304481648e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.677794357268712803e-11,1.660336307345849320e+02,1.886308593750000000e+07
3.436399217221134617e+00,3.992461609077702533e+00,-3.096483445007622504e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.628747067149805460e-11,1.674389163897195090e+02,1.921240234375000000e+07
3.444227005870841740e+00,3.295520017485776165e+00,-3.134746310062197517e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.579913285387632242e-11,1.688344171639820388e+02,1.956171875000000000e+07
3.452054794520547532e+00,2.590809333144210136e+00,-3.165942786653670919e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.542992516528978709e-11,1.702028250380560337e+02,1.991103515625000000e+07
3.459882583170254655e+00,1.879919898014325463e+00,-3.189986429867897095e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.511689970863083116e-11,1.716201681750704324e+02,2.026035156250000000e+07
3.467710371819960891e+00,1.164459640921794659e+00,-3.206807190190268011e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.481377952551179119e-11,1.730158496162186736e+02,2.060966796875000000e+07
3.475538160469667570e+00,4.460502710426791362e-01,-3.216351591091731098e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.459742586837149659e-11,1.744182925127771853e+02,2.095898437500000000e+07
3.483365949119373806e+00,-2.736764501420416718e-01,-3.218582894591415970e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.438626375961170511e-11,1.758215932134604884e+02,2.130830078125000000e+07
3.491193737769080041e+00,-9.930823834391269145e-01,-3.213481308739964879e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.426475643874443635e-11,1.771904705012105978e+02,2.165761718750000000e+07
3.499021526418786721e+00,-1.710526900793999605e+00,-3.201044029403058448e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.421653192271674393e-11,1.786008069590739069e+02,2.200693359375000000e+07
